country,birth_rt,currency_code,fertility_rt,infant_mortality_rt,life_expectancy,official_language,physicians_per_thousand,lat,long,ag_land_pct,land_area_km2,consumer_price_index,gross_domestic_product_USD(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,population_x,tax_revenue_pct,unemployment_rt,continent,covid_cases,covid_deaths,area_km2,population_y
Oman,19.19,OMR,2.89,9.8,77.6,Arabic,2.0,21.4735329,55.975413,4.6,309500.0,113.53,76.9831,103.4,38.0,5266535.0,2.5,2.67,Asia,123699.0,1423.0,309501.0,5163135.0
Pakistan,28.25,PKR,3.51,57.2,67.1,Urdu,0.98,30.375321,69.345116,47.8,796095.0,182.32,304.4,94.3,9.0,216565318.0,9.2,4.45,Asia,398024.0,8025.0,881913.0,222741498.0
Palau,14.0,USD,2.21,16.6,69.1,English,1.18,7.51498,134.58252,10.9,459.0,118.17,0.284,112.6,54.7,18233.0,21.3,,Oceana,0.0,0.0,458.0,18130.0
Palestinian National Authority,,,,,,Arabic,,31.952162,35.233154,,,,,,,,,,,,,,
Panama,18.98,,2.46,13.1,78.3,Spanish,1.57,8.537981,-80.782127,30.4,75420.0,122.07,66.8008,94.4,47.8,4246439.0,,3.9,Central America,164729.0,3060.0,75517.0,4343889.0
Papua New Guinea,27.07,PGK,3.56,38.0,64.3,Tok Pisin,0.07,-6.314993,143.95555,2.6,462840.0,155.99,24.9696,108.5,1.8,8776109.0,13.6,2.46,Oceana,656.0,7.0,462840.0,17150845.0
Paraguay,20.57,PYG,2.43,17.2,74.1,Spanish,1.35,-23.442503,-58.443832,55.1,406752.0,143.82,38.1453,104.4,34.6,7044636.0,10.0,4.81,South America,81906.0,1743.0,406752.0,7169948.0
Peru,17.95,PEN,2.25,11.1,76.5,Spanish,1.27,-9.189967,-75.015152,18.5,1285216.0,129.78,226.8481,106.9,70.7,32510453.0,14.3,3.31,South America,962530.0,35923.0,1285220.0,33168487.0
Philippines,20.55,PHP,2.58,22.5,71.1,English,0.6,12.879721,121.774017,41.7,300000.0,129.61,376.7955,107.5,35.5,108116615.0,14.0,2.15,Asia,431630.0,8392.0,300000.0,110204906.0
Poland,10.2,PLN,1.46,3.8,77.6,Polish,2.38,51.919438,19.145136,46.9,312685.0,114.11,592.1644,100.0,67.8,37970874.0,17.4,3.47,Europe,985075.0,17029.0,312679.0,37829259.0
Portugal,8.5,EUR,1.38,3.1,81.3,Portuguese,5.12,39.399872,-8.224454,39.5,92212.0,110.62,237.6861,106.2,63.9,10269417.0,22.8,6.33,Europe,294799.0,4427.0,92212.0,10184296.0
Qatar,9.54,QAR,1.87,5.8,80.1,Arabic,2.49,25.354826,51.183884,5.8,11586.0,115.38,183.4662,103.8,17.9,2832067.0,14.7,0.09,Asia,138833.0,237.0,11571.0,2901976.0
Romania,9.6,RON,1.71,6.1,75.4,Romanian,2.98,45.943161,24.96676,58.8,238391.0,123.78,250.0774,85.2,49.4,19356544.0,14.6,3.98,Europe,471536.0,11193.0,238397.0,19184408.0
Russia,11.5,RUB,1.57,6.1,72.7,Russian,4.01,61.52401,105.318756,13.3,17098240.0,180.75,1699.8766,102.6,81.9,144373535.0,11.4,4.59,Europe,0.0,0.0,17125200.0,145960720.0
Rwanda,31.7,RWF,4.04,27.0,68.7,Swahili,0.13,-1.940278,29.873888,73.4,26338.0,151.09,10.1225,133.0,6.7,12626950.0,14.3,1.03,Africa,5934.0,49.0,26338.0,13091980.0
Saint Kitts and Nevis,12.6,XCD,2.11,9.8,71.3,English,2.52,17.357822,-62.782998,23.1,261.0,104.57,1.051,108.7,86.7,52823.0,18.5,,,,,,
Saint Lucia,12.0,XCD,1.44,14.9,76.1,English,0.64,13.909444,-60.978893,17.4,616.0,110.13,2.1225,102.6,14.1,182790.0,18.2,20.71,North America,257.0,2.0,617.0,183981.0
Saint Vincent and the Grenadines,14.24,XCD,1.89,14.8,72.4,English,0.66,12.984305,-61.287228,25.6,389.0,109.67,0.8254,113.4,23.7,100455.0,25.4,18.88,North America,0.0,0.0,389.0,111088.0
Samoa,24.38,WST,3.88,13.6,73.2,Samoan,0.34,-13.759029,-172.104629,12.4,2831.0,117.56,0.8507,110.5,7.6,202506.0,25.5,8.36,Oceana,0.0,0.0,2842.0,198972.0
San Marino,6.8,EUR,1.26,1.7,85.4,Italian,6.11,43.94236,12.457777,16.7,61.0,110.63,1.6379,108.1,42.5,33860.0,18.1,,Europe,1609.0,45.0,61.0,33961.0
Sao Tome and Principe,31.54,STN,4.32,24.4,70.2,,0.05,,,50.7,964.0,185.09,0.429,106.8,13.4,215056.0,14.6,13.37,Africa,991.0,17.0,1001.0,220914.0
Saudi Arabia,17.8,SAR,2.32,6.0,75.0,Arabic,2.61,23.885942,45.079162,80.8,2149690.0,118.4,792.9668,99.8,68.0,34268528.0,8.9,5.93,Asia,357360.0,5896.0,2150000.0,35046623.0
Senegal,34.52,XOF,4.63,31.8,67.7,French,0.07,14.497401,-14.452362,46.1,196722.0,109.25,23.5781,81.0,12.8,16296364.0,16.3,6.6,Africa,16089.0,333.0,196722.0,16936487.0
Serbia,9.2,RSD,1.49,4.8,75.5,Serbian,3.11,44.016521,21.005859,39.3,77474.0,144.0,51.4092,100.3,67.2,6944975.0,18.6,12.69,Europe,169214.0,1549.0,88361.0,8722698.0
Seychelles,17.1,SCR,2.41,12.4,72.8,French,0.95,-4.679574,55.491977,3.4,455.0,129.96,1.6988,100.4,17.1,97625.0,34.1,,Africa,172.0,0.0,458.0,98605.0
Sierra Leone,33.41,SLL,4.26,78.5,54.3,English,0.03,8.460555,-11.779889,54.7,71740.0,234.16,3.9415,112.8,2.0,7813215.0,8.6,4.43,Africa,2412.0,74.0,71740.0,8047131.0
Singapore,8.8,SGD,1.14,2.3,83.1,Malay,2.29,1.352083,103.819836,0.9,716.0,114.41,372.0625,100.6,84.8,5703569.0,13.1,4.11,Asia,58218.0,29.0,726.0,5869869.0
Slovakia,10.6,EUR,1.52,4.6,77.2,Slovak,3.42,48.669026,19.699024,39.2,49035.0,115.34,105.4223,98.7,46.6,5454073.0,18.7,5.56,Europe,105733.0,816.0,49035.0,5460752.0
Slovenia,9.4,EUR,1.6,1.7,81.0,Slovene language,3.09,46.151241,14.995463,30.7,20273.0,111.05,53.7422,100.4,78.6,2087946.0,18.6,4.2,Europe,75381.0,927.0,20271.0,2079058.0
Solomon Islands,32.44,SBD,4.4,17.1,72.8,English,0.19,-9.64571,160.156194,3.9,28896.0,133.06,1.4251,106.2,,669823.0,29.5,0.58,Oceana,17.0,0.0,28400.0,694217.0
Somalia,41.75,SOS,6.07,76.6,57.1,Arabic,0.02,5.152149,46.199616,70.3,637657.0,,4.7207,23.4,2.5,15442905.0,0.0,11.35,Africa,4451.0,113.0,637657.0,16087259.0
South Africa,20.51,ZAR,2.41,28.5,63.9,Afrikaans,0.91,-30.559482,22.937506,79.8,1219090.0,158.93,351.4316,100.9,22.4,58558270.0,27.5,28.18,Africa,790004.0,21535.0,12199912.0,59628390.0
South Korea,6.4,KRW,0.98,2.7,82.6,Korean,2.36,35.907757,127.766922,17.4,99720.0,115.16,2029.0,98.1,94.3,51709098.0,15.6,4.15,,,,,
South Sudan,35.01,SSP,4.7,63.7,57.6,English,,6.8769919,31.3069788,,644329.0,4583.71,11.9978,73.0,,11062113.0,,12.24,Africa,3109.0,61.0,619745.0,11249761.0
Spain,7.9,EUR,1.26,2.5,83.3,Spanish,3.87,40.463667,-3.74922,52.6,505370.0,110.96,1394.1163,102.7,88.9,47076781.0,14.2,13.96,Europe,1628208.0,44668.0,505990.0,46762381.0
Sri Lanka,15.83,LKR,2.2,6.4,76.8,Tamil,1.0,7.873054,80.771797,43.7,65610.0,155.53,84.0088,100.2,19.6,21803000.0,11.9,4.2,Asia,23484.0,116.0,65610.0,21451157.0
Sudan,32.18,SDG,4.41,42.1,65.1,Arabic,0.26,12.862807,30.217636,28.7,1861484.0,1344.19,18.9023,76.8,16.9,42813238.0,8.0,16.53,Africa,17810.0,1249.0,1886068.0,44294189.0
Suriname,18.54,SRD,2.42,16.9,71.6,Dutch,1.21,3.919305,-56.027783,0.6,163820.0,294.66,3.9853,108.8,12.6,581372.0,19.5,7.33,South America,5312.0,117.0,163821.0,588867.0
Sweden,11.4,SEK,1.76,2.2,82.5,Swedish,3.98,60.128161,18.643501,7.4,450295.0,110.51,530.8329,126.6,67.0,10285453.0,27.9,6.48,Europe,243129.0,6681.0,450295.0,10125943.0
Switzerland,10.0,CHF,1.52,3.7,83.6,German,4.3,46.818188,8.227512,38.4,41277.0,99.55,703.0824,105.2,59.6,8574832.0,10.1,4.58,Europe,317017.0,4236.0,41285.0,8681478.0
Syria,23.69,SYP,2.81,14.0,71.8,Arabic,1.22,34.802075,38.996815,75.8,185180.0,143.2,40.405,81.7,40.1,17070135.0,14.2,8.37,Asia,0.0,0.0,185180.0,17685746.0
Tajikistan,30.76,TJS,3.59,30.4,70.9,Persian,1.7,38.861034,71.276093,34.1,144100.0,148.57,8.1166,100.9,31.3,9321018.0,9.8,11.02,Asia,12155.0,86.0,143100.0,9630651.0
Tanzania,36.7,TZS,4.89,37.6,65.0,Swahili,0.01,-6.369028,34.888822,44.8,947300.0,187.43,63.1771,94.2,4.0,58005463.0,11.5,1.98,Africa,0.0,0.0,945087.0,60479818.0
Thailand,10.34,THB,1.53,7.8,76.9,Thai,0.81,15.870032,100.992541,43.3,513120.0,113.27,543.65,99.8,49.3,69625582.0,14.9,0.75,Asia,3998.0,60.0,513120.0,69873773.0
East Timor,29.42,USD,4.02,39.3,69.3,Portuguese,0.72,-8.874217,125.727539,25.6,14874.0,145.38,1.6735,115.3,17.8,3500000.0,25.0,4.55,,,,,
Togo,33.11,XOF,4.32,47.4,60.8,French,0.08,8.619543,0.824782,70.2,56785.0,113.3,5.46,123.8,14.5,8082366.0,16.9,2.04,Africa,2946.0,64.0,56785.0,8363092.0
Tonga,24.3,TOP,3.56,13.4,70.8,Tongan Language,0.52,-21.178986,-175.198242,45.8,747.0,121.09,0.4504,116.3,6.4,100209.0,22.3,1.12,Oceana,0.0,0.0,747.0,106206.0
Trinidad and Tobago,12.94,TTD,1.73,16.4,73.4,English,4.17,10.691803,-61.222503,10.5,5128.0,141.75,24.1002,106.2,12.0,1394973.0,19.5,2.69,North America,0.0,0.0,0.0,0.0
Tunisia,17.56,TND,2.2,14.6,76.5,Arabic,1.3,33.886917,9.537499,64.8,163610.0,155.33,38.7977,115.4,31.7,11694719.0,21.1,16.02,Africa,96769.0,3260.0,0.0,0.0
Turkey,16.03,TRY,2.07,9.1,77.4,Turkish,1.85,38.963745,35.243322,49.8,783562.0,234.44,754.4117,93.2,23.9,83429615.0,17.9,13.49,Asia,494351.0,13558.0,783562.0,84726208.0
Turkmenistan,23.83,TMT,2.79,39.3,68.1,Turkmen,2.22,38.969719,59.556278,72.0,488100.0,,40.7611,88.4,8.0,5942089.0,,3.91,Asia,0.0,0.0,491210.0,6069243.0
Tuvalu,,AUD,,20.6,,Tuvaluan Language,0.92,-7.109535,177.64933,60.0,26.0,,0.0473,86.0,,11646.0,,,Oceana,0.0,0.0,26.0,11854.0
Uganda,38.14,UGX,4.96,33.8,63.0,Swahili,0.17,1.373333,32.290275,71.9,241038.0,173.87,34.3872,102.7,4.8,44269594.0,11.7,1.84,Africa,20459.0,205.0,241037.0,46377077.0
Ukraine,8.7,UAH,1.3,7.5,71.6,Ukrainian,2.99,48.379433,31.16558,71.7,603550.0,281.66,153.7811,99.0,82.7,44385155.0,20.1,8.88,Europe,732625.0,12327.0,603628.0,43624462.0
United Arab Emirates,10.33,AED,1.41,6.5,77.8,Arabic,2.53,23.424076,53.847818,5.5,83600.0,114.52,421.1423,108.4,36.8,9770529.0,0.1,2.35,Asia,168860.0,572.0,83600.0,9941469.0
United Kingdom,11.0,GBP,1.68,3.6,81.3,English,2.81,55.378051,-3.435973,71.7,243610.0,119.62,2827.1132,101.2,60.0,66834405.0,25.5,3.85,Europe,0.0,0.0,242495.0,68036854.0
United States,11.6,USD,1.73,5.6,78.5,,2.61,37.09024,-95.712891,44.4,9833517.0,117.24,21427.7,101.8,88.2,328239523.0,9.6,14.7,North America,0.0,0.0,9834000.0,331825014.0
Uruguay,13.86,UYU,1.97,6.4,77.8,Spanish,5.05,-32.522779,-55.765835,82.6,176215.0,202.92,56.0459,108.5,63.1,3461734.0,20.1,8.73,South America,5716.0,76.0,176215.0,3478809.0
Uzbekistan,23.3,UZS,2.42,19.1,71.6,Uzbek,2.37,41.377491,64.585262,62.9,447400.0,,57.9213,104.2,10.1,33580650.0,14.8,5.92,Asia,72920.0,608.0,448978.0,33677231.0
Vanuatu,29.6,VUV,3.78,22.3,70.3,French,0.17,-15.376706,166.959158,15.3,12189.0,117.13,0.9171,109.3,4.7,299882.0,17.8,4.39,Oceana,1.0,0.0,12189.0,310265.0
Venezuela,17.88,VED,2.27,21.4,72.1,Spanish,1.92,6.42375,-66.58973,24.5,912050.0,2740.27,482.3593,97.2,79.3,28515829.0,,8.8,South America,0.0,0.0,916445.0,28402272.0
Vietnam,16.75,VND,2.05,16.5,75.3,Vietnamese,0.82,14.058324,108.277199,39.3,331210.0,163.52,261.9212,110.6,28.5,96462106.0,19.1,2.01,Asia,0.0,0.0,331212.0,97702766.0
Yemen,30.45,YER,3.79,42.9,66.1,Arabic,0.31,15.552727,48.516388,44.6,527968.0,157.58,26.9144,93.6,10.2,29161922.0,,12.91,Asia,2081.0,606.0,527968.0,30110883.0
Zambia,36.19,ZMW,4.63,40.4,63.5,English,1.19,-13.133897,27.849332,32.1,752618.0,212.31,23.0647,98.7,4.1,17861030.0,16.2,11.43,Africa,17647.0,357.0,752618.0,18609335.0
Zimbabwe,30.68,,3.62,33.9,61.2,Shona,0.21,-19.015438,29.154857,41.9,390757.0,105.51,21.4408,109.9,10.0,14645468.0,20.7,4.95,Africa,10034.0,277.0,390757.0,14955711.0
