country,population,lat,long,continent,gross_domestic_product_usd(b),tax_revenue_pct,unemployment_rt,primary_education_enrollment_pct,secondary_education_enrollment_pct,life_expectancy,birth_rt,infant_mortality_rt,physicians_per_thousand,covid_death_rt
Saint Vincent and the Grenadines,105772,12.984305,-61.287228,North America,0.8254,25.4,18.88,113.4,23.7,72.4,14.24,14.8,0.66,0.0
Samoa,200739,-13.759029,-172.104629,Oceana,0.8507,25.5,8.36,110.5,7.6,73.2,24.38,13.6,0.34,0.0
San Marino,33910,43.94236,12.457777,Europe,1.6379,18.1,8.1,108.1,42.5,85.4,6.8,1.7,6.11,2.8000000000000003
Sao Tome and Principe,217985,0.203237,6.608357,Africa,0.429,14.6,13.37,106.8,13.4,70.2,31.54,24.4,0.05,1.72
Saudi Arabia,34657576,23.885942,45.079162,Asia,792.9668,8.9,5.93,99.8,68.0,75.0,17.8,6.0,2.61,1.6500000000000001
Senegal,16616426,14.497401,-14.452362,Africa,23.5781,16.3,6.6,81.0,12.8,67.7,34.52,31.8,0.07,2.07
Serbia,7833836,44.016521,21.005859,Europe,51.4092,18.6,12.69,100.3,67.2,75.5,9.2,4.8,3.11,0.9199999999999999
Seychelles,98115,-4.679574,55.491977,Africa,1.6988,34.1,3.0,100.4,17.1,72.8,17.1,12.4,0.95,0.0
Sierra Leone,7930173,8.460555,-11.779889,Africa,3.9415,8.6,4.43,112.8,2.0,54.3,33.41,78.5,0.03,3.0700000000000003
Singapore,5786719,1.352083,103.819836,Asia,372.0625,13.1,4.11,100.6,84.8,83.1,8.8,2.3,2.29,0.05
Slovakia,5457412,48.669026,19.699024,Europe,105.4223,18.7,5.56,98.7,46.6,77.2,10.6,4.6,3.42,0.77
Slovenia,2083502,46.151241,14.995463,Europe,53.7422,18.6,4.2,100.4,78.6,81.0,9.4,1.7,3.09,1.23
Solomon Islands,682020,-9.64571,160.156194,Oceana,1.4251,29.5,0.58,106.2,48.3,72.8,32.44,17.1,0.19,0.0
Somalia,15765082,5.152149,46.199616,Africa,4.7207,0.0,11.35,23.4,2.5,57.1,41.75,76.6,0.02,2.54
South Africa,59093330,-30.559482,22.937506,Africa,351.4316,27.5,28.18,100.9,22.4,63.9,20.51,28.5,0.91,2.73
South Korea,51709098,35.907757,127.766922,Asia,2029.0,15.6,4.15,98.1,94.3,82.6,6.4,2.7,2.36,0.13999999999999999
South Sudan,11155937,6.8769919,31.3069788,Africa,11.9978,8.5,12.24,73.0,11.2,57.6,35.01,63.7,0.04,1.96
Spain,46919581,40.463667,-3.74922,Europe,1394.1163,14.2,13.96,102.7,88.9,83.3,7.9,2.5,3.87,2.74
Sri Lanka,21627078,7.873054,80.771797,Asia,84.0088,11.9,4.2,100.2,19.6,76.8,15.83,6.4,1.0,0.49
Sudan,43553714,12.862807,30.217636,Africa,18.9023,8.0,16.53,76.8,16.9,65.1,32.18,42.1,0.26,7.01
Suriname,585120,3.919305,-56.027783,South America,3.9853,19.5,7.33,108.8,12.6,71.6,18.54,16.9,1.21,2.1999999999999997
Sweden,10205698,60.128161,18.643501,Europe,530.8329,27.9,6.48,126.6,67.0,82.5,11.4,2.2,3.98,2.75
Switzerland,8628155,46.818188,8.227512,Europe,703.0824,10.1,4.58,105.2,59.6,83.6,10.0,3.7,4.3,1.34
Syria,17377940,34.802075,38.996815,Asia,40.405,14.2,8.37,81.7,40.1,71.8,23.69,14.0,1.22,0.0
Tajikistan,9475834,38.861034,71.276093,Asia,8.1166,9.8,11.02,100.9,31.3,70.9,30.76,30.4,1.7,0.7100000000000001
Tanzania,59242640,-6.369028,34.888822,Africa,63.1771,11.5,1.98,94.2,4.0,65.0,36.7,37.6,0.01,0.0
Thailand,69749678,15.870032,100.992541,Asia,543.65,14.9,0.75,99.8,49.3,76.9,10.34,7.8,0.81,1.5
East Timor,3500000,-8.874217,125.727539,Asia,1.6735,25.0,4.55,115.3,17.8,69.3,29.42,39.3,0.72,0.0
Togo,8222729,8.619543,0.824782,Africa,5.46,16.9,2.04,123.8,14.5,60.8,33.11,47.4,0.08,2.17
Tonga,103208,-21.178986,-175.198242,Oceana,0.4504,22.3,1.12,116.3,6.4,70.8,24.3,13.4,0.52,0.0
Trinidad and Tobago,1394973,10.691803,-61.222503,North America,24.1002,19.5,2.69,106.2,12.0,73.4,12.94,16.4,4.17,0.0
Tunisia,11694719,33.886917,9.537499,Africa,38.7977,21.1,16.02,115.4,31.7,76.5,17.56,14.6,1.3,3.37
Turkey,84077912,38.963745,35.243322,Asia,754.4117,17.9,13.49,93.2,23.9,77.4,16.03,9.1,1.85,2.74
Turkmenistan,6005666,38.969719,59.556278,Asia,40.7611,14.9,3.91,88.4,8.0,68.1,23.83,39.3,2.22,0.0
Tuvalu,11750,-7.109535,177.64933,Oceana,0.0473,18.5,11.0,86.0,91.3,69.0,22.0,20.6,0.92,0.0
Uganda,45323336,1.373333,32.290275,Africa,34.3872,11.7,1.84,102.7,4.8,63.0,38.14,33.8,0.17,1.0
Ukraine,44004808,48.379433,31.16558,Europe,153.7811,20.1,8.88,99.0,82.7,71.6,8.7,7.5,2.99,1.68
United Arab Emirates,9855999,23.424076,53.847818,Asia,421.1423,0.1,2.35,108.4,36.8,77.8,10.33,6.5,2.53,0.33999999999999997
United Kingdom,67435630,55.378051,-3.435973,Europe,2827.1132,25.5,3.85,101.2,60.0,81.3,11.0,3.6,2.81,0.0
United States,330032268,37.09024,-95.712891,North America,21427.7,9.6,14.7,101.8,88.2,78.5,11.6,5.6,2.61,0.0
Uruguay,3470272,-32.522779,-55.765835,South America,56.0459,20.1,8.73,108.5,63.1,77.8,13.86,6.4,5.05,1.3299999999999998
Uzbekistan,33628940,41.377491,64.585262,Asia,57.9213,14.8,5.92,104.2,10.1,71.6,23.3,19.1,2.37,0.83
Vanuatu,305074,-15.376706,166.959158,Oceana,0.9171,17.8,4.39,109.3,4.7,70.3,29.6,22.3,0.17,0.0
Venezuela,28459050,6.42375,-66.58973,South America,482.3593,5.96,8.8,97.2,79.3,72.1,17.88,21.4,1.92,0.0
Vietnam,97082436,14.058324,108.277199,Asia,261.9212,19.1,2.01,110.6,28.5,75.3,16.75,16.5,0.82,0.0
Yemen,29636402,15.552727,48.516388,Asia,26.9144,9.58,12.91,93.6,10.2,66.1,30.45,42.9,0.31,29.12
Zambia,18235182,-13.133897,27.849332,Africa,23.0647,16.2,11.43,98.7,4.1,63.5,36.19,40.4,1.19,2.02
Zimbabwe,14800590,-19.015438,29.154857,Africa,21.4408,20.7,4.95,109.9,10.0,61.2,30.68,33.9,0.21,2.76
